mi1_root_id,postion_x,postion_y,postion_z,m6_x,m6_y,m6_z,theta,phi,hemisphere
720575940630777206,203696,221200,224400,233312,224856,234815,34.4,-25.1,L
720575940630780357,291792,285536,131120,310078,283112,149427,-8.7,-114.5,L
720575940630787788,239276,340512,225920,263339,326301,234390,-12,-22.1,L
720575940630818322,210764,205868,222920,237333,211642,233477,40.5,-24,L
720575940630921035,271208,208136,152880,286495,212864,171844,31.7,-114,L
720575940630934329,213756,238084,186840,247038,238544,203320,27.1,-59.2,L
720575940630957568,249396,232140,189720,256223,232001,193191,29.1,-73.4,L
720575940630967097,271064,221748,169360,275446,222617,176878,28,-101.1,L
720575940631066880,322448,274852,131600,328016,272065,141782,NA,NA,L
720575940631077903,205040,230580,215480,235305,232277,225570,31,-34,L
720575940631085532,269956,357320,193680,293728,341099,205683,-32.9,-38.3,L
720575940631093352,218544,221180,190760,249950,222084,205173,36.7,-60.8,L
720575940631093608,218592,197572,217200,243866,203511,227071,46.6,-32,L
720575940631104512,216552,297316,195080,249550,288677,206909,3.7,-44.4,L
720575940631112252,234352,337740,237800,257413,322550,244601,-6,-14.7,L
720575940631132714,233732,339760,244720,259266,326811,249635,-7.3,-11.3,L
720575940631173975,308792,319436,136880,325080,311898,154826,-27.8,-107.3,L
720575940631189445,229404,173188,234800,252006,184791,242005,57.3,-14.8,L
720575940631203757,265052,323116,160000,287548,313324,179655,-17.6,-68.9,L
720575940631243331,236740,327592,194160,266366,315127,206383,-11.5,-45,L
720575940631249325,316236,340780,151520,333958,330571,165476,-45,-100.1,L
720575940631297583,294100,234296,135880,308258,237071,153873,11.5,-134.4,L
720575940631330255,281284,176600,165720,293274,187925,181777,47.8,-118.8,L
720575940631425554,307980,374348,204800,326588,363226,209644,-64.2,-17,L
720575940631492603,280692,152992,211720,292875,158406,216153,81.7,-151.7,L
720575940631639656,307808,304372,131120,321665,298117,149458,-19.2,-114.1,L
720575940631693928,276164,356044,189480,299129,342038,201019,-36.4,-41.9,L
720575940631721017,296700,169136,167160,305684,176695,182691,51.8,-136,L
720575940631861775,217800,186924,236600,244657,196242,243167,50.7,-14.8,L
720575940631868946,318864,371144,194360,334369,360242,196861,-67.2,-48.1,L
720575940631885476,261368,234128,151960,278864,234637,171705,21.3,-102.9,L
720575940631966511,265052,158256,194720,283843,170780,207984,72.7,-97.5,L
720575940632147215,269536,154540,200400,288443,164682,211534,78.1,-115.3,L
720575940632161491,292924,211520,144160,305192,218230,159411,22.7,-134.2,L
720575940632172492,228496,309676,187400,259277,299068,201123,-3.2,-50.7,L
720575940632226371,219116,184000,243360,243084,194585,248503,51,-7.6,L
720575940632258575,232316,221360,177480,258188,223220,194640,33.5,-74.5,L
720575940632263016,259664,162240,196560,278669,174908,209736,69.9,-79.2,L
720575940632281912,206980,210008,229400,236617,214684,242366,39.2,-17.9,L
720575940632285068,291512,148356,193160,302313,162357,200612,66,-152.5,L
720575940632299538,204504,291864,245520,234832,288782,251274,10.8,-9.1,L
720575940632315178,276816,158760,183440,291705,171554,197098,65.5,-120.4,L
720575940632333260,294016,370836,201960,316011,357945,212523,-54.2,-24.1,L
720575940632382767,222120,303224,263520,236466,296459,265135,3.3,6.3,L
720575940632391264,294632,226600,138160,308151,229368,155024,15.5,-136.5,L
720575940632506579,310820,354032,165440,326644,342675,179404,-51.9,-73.9,L
720575940632709187,302732,327104,143600,321736,318449,161127,-32.1,-98.3,L
720575940632772655,215556,309248,229160,242805,297160,238066,5.4,-19.7,L
720575940632958163,245308,243912,163680,267104,242941,181169,20.4,-88.2,L
720575940632959583,258888,285568,147960,278417,278388,169442,1.1,-88.8,L
720575940633110343,217376,309260,204080,251259,298031,214786,1,-38.7,L
720575940633173933,309612,193692,155120,315704,197699,163610,32.3,-148.7,L
720575940633202828,228956,267372,263000,228666,264921,261806,20,10.2,L
720575940633222113,221704,318796,221840,250476,308571,231611,-1.2,-25,L
720575940633232199,201036,243396,211920,234908,241447,224191,26.7,-34.9,L
720575940633242705,202264,212848,244160,231896,219205,250236,38.3,-8.8,L
720575940633245092,201680,248240,253120,228251,251474,260598,24.4,3,L
720575940633328991,278108,333732,160000,301106,323463,178412,-27.5,-70,L
720575940633337645,241112,164400,229560,260747,174989,236707,63.5,-20.4,L
720575940633410335,272764,338212,168560,294799,326114,185558,-27.3,-60.5,L
720575940633474079,299736,339984,152080,320339,330171,171478,-39.5,-82.8,L
720575940633570656,200692,265964,230440,232807,261734,240503,19.6,-18.3,L
720575940633668252,271888,347532,177840,296068,334049,192905,-32.4,-50.7,L
720575940633670039,288664,365856,240120,299104,357593,239561,-41.2,-2.9,L
720575940633780505,235456,180380,203120,262586,187313,216634,59.7,-52.3,L
720575940633803415,203368,246588,256400,226388,247712,262605,NA,NA,L
720575940633918968,264064,306924,150400,287167,300359,170135,-11.3,-81.7,L
720575940633989472,211920,283704,190680,247268,275333,204369,9.3,-49.3,L
720575940634424601,243820,336372,190760,272588,321169,204453,-15.6,-45,L
720575940634522719,292524,342344,160920,314527,333757,178968,-39.3,-71.5,L
720575940634585113,201388,230320,222200,231880,232908,233829,31.2,-26.1,L
720575940634658530,252472,310728,163760,275363,301533,182446,-8.5,-67.9,L
720575940634743136,288816,265344,132400,303177,264197,152207,1.8,-117.6,L
720575940634844060,210136,259380,194240,243539,257824,207855,18.7,-50.6,L
720575940634876441,205264,270268,253560,231988,268234,259617,18.9,5.1,L
720575940634993433,254944,301536,154880,275981,292999,176433,-4.3,-76.1,L
