id,size_change,round
720575940604304742,76.20115,1
720575940604304742,5.525909999999996,2
720575940604304742,4.103999999999999,3
720575940604345632,48.180080000000004,1
720575940604345632,0.6473799999999983,2
720575940604345632,2.060839999999999,3
720575940604885792,246.88497999999998,1
720575940604885792,2.9920800000000014,2
720575940604885792,0.39153000000000304,3
720575940606040352,59.27163,1
720575940606040352,0.08596000000000004,2
720575940606040352,0.15421000000000618,3
720575940607245186,16.862102,1
720575940607245186,33.06272,2
720575940607245186,25.084999999999994,3
720575940607582729,5.250299999999996,1
720575940607582729,4.063280000000006,2
720575940607582729,0.07430000000000803,3
720575940607603548,174.13141,1
720575940607603548,79.2246,2
720575940607603548,1.1567999999999898,3
720575940607630172,83.577444,1
720575940607630172,0.3327500000000043,2
720575940607630172,0.975909999999999,3
720575940611063921,81.06763000000001,1
720575940611063921,0.16938000000000386,2
720575940611063921,0.3269499999999965,3
720575940611335666,74.15149,1
720575940611335666,0.25283999999999196,2
720575940611335666,1.860200000000006,3
720575940611532458,38.94132,1
720575940611532458,7.083290000000005,2
720575940611532458,0.48654999999999404,3
720575940611700430,59.034940000000006,1
720575940611700430,2.2291699999999963,2
720575940611700430,7.0484500000000025,3
720575940612646883,5.945210000000003,1
720575940612646883,4.517310000000009,2
720575940612646883,3.524789999999996,3
720575940613218418,58.54147999999999,1
720575940613218418,2.5862300000000005,2
720575940613218418,11.874500000000012,3
720575940613681662,70.0601,1
720575940613681662,3.8714299999999895,2
720575940613681662,0.14276999999999873,3
720575940613692414,56.82517,1
720575940613692414,4.212519999999998,2
720575940613692414,0.36148000000000025,3
720575940613735934,11.715699999999998,1
720575940613735934,2.694810000000004,2
720575940613735934,1.6633599999999973,3
720575940613764862,55.701443000000005,1
720575940613764862,11.77733,2
720575940613764862,6.648030000000006,3
720575940614282705,3.586739999999999,1
720575940614282705,14.474920000000004,2
720575940614282705,30.49893,3
720575940614421471,52.99511,1
720575940614421471,3.266069999999999,2
720575940614421471,0.09161000000000286,3
720575940614499634,107.1076,1
720575940614499634,0.9136999999999915,2
720575940614499634,3.102400000000003,3
720575940615406698,12.763710000000003,1
720575940615406698,7.44932,2
720575940615406698,5.964560000000006,3
720575940616021899,69.86702,1
720575940616021899,4.279859999999999,2
720575940616021899,0.08176000000000272,3
720575940616445638,0.9955499999999944,1
720575940616445638,3.7113200000000006,2
720575940616445638,0.8682599999999923,3
720575940617087718,98.18224,1
720575940617087718,0.9805999999999955,2
720575940617087718,7.253699999999995,3
720575940617282117,73.39564999999999,1
720575940617282117,5.485430000000008,2
720575940617282117,0.06810000000000116,3
720575940617283101,23.422120000000007,1
720575940617283101,2.2783099999999905,2
720575940617283101,0.40664999999999907,3
720575940617311574,16.249261,1
720575940617311574,7.603249999999999,2
720575940617311574,0.053950000000000387,3
720575940617979682,52.279225,1
720575940617979682,9.941980000000008,2
720575940617979682,0.8408599999999922,3
720575940618543445,32.369440000000004,1
720575940618543445,3.029439999999994,2
720575940618543445,3.0887500000000045,3
720575940618639105,55.47325,1
720575940618639105,0.272199999999998,2
720575940618639105,2.6274999999999977,3
720575940619442113,13.498139999999992,1
720575940619442113,6.094470000000001,2
720575940619442113,0.05687000000000353,3
720575940619768923,61.711057,1
720575940619768923,4.826139999999995,2
720575940619768923,0.5524300000000011,3
720575940619883758,68.96294999999999,1
720575940619883758,3.967570000000009,2
720575940619883758,0.4842399999999998,3
720575940620019265,87.53296000000002,1
720575940620019265,3.7238100000000003,2
